[ 13.0, 17.0, 0.0 ] [ 84.0, 82.0, 0.0 ]
[ 103.0, 94.0, 0.0 ] [ 199.0, 37.0, 0.0 ]
[ 39.0, 100.0, 0.0 ] [ 114.0, 160.0, 0.0 ]
[ 140.0, 167.0, 0.0 ] [ 254.0, 104.0, 0.0 ]
[ 93.0, 182.0, 0.0 ] [ 144.0, 239.0, 0.0 ]
[ 166.0, 239.0, 0.0 ] [ 250.0, 171.0, 0.0 ]
[ 252.0, 173.0, 0.0 ] [ 312.0, 179.0, 0.0 ]
[ 300.0, 189.0, 0.0 ] [ 336.0, 217.0, 0.0 ]
[ 337.0, 229.0, 0.0 ] [ 412.0, 230.0, 0.0 ]
[ 413.0, 218.0, 0.0 ] [ 447.0, 184.0, 0.0 ]
[ 454.0, 179.0, 0.0 ] [ 466.0, 172.0, 0.0 ]
[ 470.0, 167.0, 0.0 ] [ 483.0, 165.0, 0.0 ]
[ 491.0, 167.0, 0.0 ] [ 517.0, 171.0, 0.0 ]
[ 509.0, 179.0, 0.0 ] [ 517.0, 194.0, 0.0 ]
[ 519.0, 206.0, 0.0 ] [ 523.0, 221.0, 0.0 ]
[ 524.0, 232.0, 0.0 ] [ 525.0, 243.0, 0.0 ]
[ 119.0, 288.0, 0.0 ] [ 195.0, 250.0, 0.0 ]
[ 224.0, 258.0, 0.0 ] [ 249.0, 299.0, 0.0 ]
[ 262.0, 309.0, 0.0 ] [ 299.0, 256.0, 0.0 ]
[ 317.0, 257.0, 0.0 ] [ 346.0, 311.0, 0.0 ]
[ 373.0, 305.0, 0.0 ] [ 406.0, 261.0, 0.0 ]
[ 432.0, 269.0, 0.0 ] [ 457.0, 308.0, 0.0 ]
[ 478.0, 286.0, 0.0 ] [ 487.0, 264.0, 0.0 ]
[ 149.0, 304.0, 0.0 ] [ 148.0, 349.0, 0.0 ]
[ 132.0, 302.0, 0.0 ] [ 164.0, 302.0, 0.0 ]
[ 177.0, 324.0, 0.0 ] [ 216.0, 324.0, 0.0 ]
[ 180.0, 304.0, 0.0 ] [ 180.0, 341.0, 0.0 ]
[ 180.0, 305.0, 0.0 ] [ 216.0, 306.0, 0.0 ]
[ 182.0, 335.0, 0.0 ] [ 212.0, 336.0, 0.0 ]
[ 240.0, 308.0, 0.0 ] [ 224.0, 308.0, 0.0 ]
[ 224.0, 307.0, 0.0 ] [ 222.0, 323.0, 0.0 ]
[ 224.0, 324.0, 0.0 ] [ 240.0, 321.0, 0.0 ]
[ 240.0, 324.0, 0.0 ] [ 241.0, 342.0, 0.0 ]
[ 241.0, 341.0, 0.0 ] [ 223.0, 340.0, 0.0 ]
[ 258.0, 342.0, 0.0 ] [ 260.0, 317.0, 0.0 ]
[ 250.0, 314.0, 0.0 ] [ 275.0, 320.0, 0.0 ]
