[ 17.0, 340.0, 0.0 ] [ 95.0, 259.0, 0.0 ]
[ 70.0, 226.0, 0.0 ] [ 86.0, 250.0, 0.0 ]
[ 94.0, 250.0, 0.0 ] [ 163.0, 210.0, 0.0 ]
[ 123.0, 175.0, 0.0 ] [ 135.0, 202.0, 0.0 ]
[ 144.0, 203.0, 0.0 ] [ 212.0, 166.0, 0.0 ]
[ 165.0, 138.0, 0.0 ] [ 166.0, 162.0, 0.0 ]
[ 169.0, 168.0, 0.0 ] [ 244.0, 130.0, 0.0 ]
[ 198.0, 101.0, 0.0 ] [ 180.0, 134.0, 0.0 ]
[ 191.0, 139.0, 0.0 ] [ 262.0, 95.0, 0.0 ]
[ 242.0, 64.0, 0.0 ] [ 217.0, 101.0, 0.0 ]
[ 222.0, 101.0, 0.0 ] [ 301.0, 58.0, 0.0 ]
[ 78.0, 37.0, 0.0 ] [ 111.0, 113.0, 0.0 ]
[ 120.0, 33.0, 0.0 ] [ 121.0, 109.0, 0.0 ]
[ 143.0, 34.0, 0.0 ] [ 182.0, 90.0, 0.0 ]
[ 199.0, 35.0, 0.0 ] [ 193.0, 84.0, 0.0 ]
[ 70.0, 38.0, 0.0 ] [ 178.0, 2.0, 0.0 ]
[ 40.0, 222.0, 0.0 ] [ 85.0, 151.0, 0.0 ]
[ 28.0, 215.0, 0.0 ] [ 66.0, 130.0, 0.0 ]
[ 92.0, 164.0, 0.0 ] [ 116.0, 121.0, 0.0 ]
[ 49.0, 114.0, 0.0 ] [ 41.0, 39.0, 0.0 ]
[ 90.0, 68.0, 0.0 ] [ 82.0, 81.0, 0.0 ]
[ 15.0, 341.0, 0.0 ] [ 76.0, 334.0, 0.0 ]
