[ 20.0, 18.0, 0.0 ] [ 82.0, 87.0, 0.0 ]
[ 107.0, 94.0, 0.0 ] [ 174.0, 46.0, 0.0 ]
[ 181.0, 53.0, 0.0 ] [ 197.0, 106.0, 0.0 ]
[ 207.0, 106.0, 0.0 ] [ 264.0, 55.0, 0.0 ]
[ 261.0, 55.0, 0.0 ] [ 274.0, 113.0, 0.0 ]
[ 279.0, 113.0, 0.0 ] [ 340.0, 56.0, 0.0 ]
[ 341.0, 55.0, 0.0 ] [ 344.0, 127.0, 0.0 ]
[ 355.0, 122.0, 0.0 ] [ 411.0, 74.0, 0.0 ]
[ 417.0, 70.0, 0.0 ] [ 426.0, 130.0, 0.0 ]
[ 430.0, 131.0, 0.0 ] [ 495.0, 73.0, 0.0 ]
[ 495.0, 72.0, 0.0 ] [ 517.0, 137.0, 0.0 ]
[ 528.0, 146.0, 0.0 ] [ 593.0, 61.0, 0.0 ]
[ 592.0, 60.0, 0.0 ] [ 628.0, 135.0, 0.0 ]
[ 29.0, 81.0, 0.0 ] [ 249.0, 246.0, 0.0 ]
[ 272.0, 250.0, 0.0 ] [ 578.0, 143.0, 0.0 ]
[ 162.0, 230.0, 0.0 ] [ 162.0, 247.0, 0.0 ]
[ 162.0, 249.0, 0.0 ] [ 169.0, 288.0, 0.0 ]
[ 172.0, 290.0, 0.0 ] [ 191.0, 296.0, 0.0 ]
[ 197.0, 301.0, 0.0 ] [ 197.0, 305.0, 0.0 ]
[ 207.0, 315.0, 0.0 ] [ 211.0, 317.0, 0.0 ]
[ 230.0, 327.0, 0.0 ] [ 242.0, 333.0, 0.0 ]
[ 260.0, 336.0, 0.0 ] [ 278.0, 335.0, 0.0 ]
[ 287.0, 333.0, 0.0 ] [ 299.0, 330.0, 0.0 ]
[ 305.0, 329.0, 0.0 ] [ 312.0, 324.0, 0.0 ]
[ 322.0, 317.0, 0.0 ] [ 331.0, 308.0, 0.0 ]
[ 350.0, 290.0, 0.0 ] [ 358.0, 282.0, 0.0 ]
[ 368.0, 273.0, 0.0 ] [ 379.0, 253.0, 0.0 ]
[ 382.0, 246.0, 0.0 ] [ 381.0, 251.0, 0.0 ]
[ 370.0, 268.0, 0.0 ] [ 367.0, 273.0, 0.0 ]
[ 361.0, 281.0, 0.0 ] [ 353.0, 294.0, 0.0 ]
[ 344.0, 303.0, 0.0 ] [ 337.0, 310.0, 0.0 ]
[ 337.0, 309.0, 0.0 ] [ 364.0, 273.0, 0.0 ]
[ 360.0, 282.0, 0.0 ] [ 324.0, 311.0, 0.0 ]
[ 335.0, 304.0, 0.0 ] [ 287.0, 333.0, 0.0 ]
[ 312.0, 325.0, 0.0 ] [ 239.0, 331.0, 0.0 ]
[ 241.0, 329.0, 0.0 ] [ 166.0, 283.0, 0.0 ]
